"contrast","estimate","SE","df","z.ratio","p.value"
"Bjørnøya - Combined",1.49878032612492,0.349083825227339,Inf,4.29346826696667,0.000595114953320097
"Bjørnøya - Eynhallow",-1.44030996004285,0.302535353212194,Inf,-4.76079884466472,6.7437640828838e-05
"Bjørnøya - Faroe.Islands",-0.326066561014955,0.447966720272541,Inf,-0.727881215855896,0.998412411395042
"Bjørnøya - Inishkea",-1.69964706381036,0.850260668634232,Inf,-1.99897175832029,0.544032098316948
"Bjørnøya - Isle.of.Canna",-1.09493258414283,0.667990308978124,Inf,-1.63914441486109,0.783190001681119
"Bjørnøya - Jan.Mayen",-0.0975407685265927,0.347788244288078,Inf,-0.280460222933235,0.999998894067979
"Bjørnøya - Jarsteinen",-1.70930571886352,0.503030998871755,Inf,-3.39801269245297,0.0195399941908084
"Bjørnøya - Little.Saltee",-3.32214948409798,0.412825685571149,Inf,-8.0473420143462,1.46327394645596e-13
"Combined - Eynhallow",-2.93909028616777,0.268812483793153,Inf,-10.9336078618631,8.83737527601625e-14
"Combined - Faroe.Islands",-1.82484688713987,0.426029350114799,Inf,-4.28338302665801,0.000622140947875716
"Combined - Inishkea",-3.19842738993528,0.839001134889905,Inf,-3.81218481945794,0.00436666182724654
"Combined - Isle.of.Canna",-2.59371291026775,0.653427244476995,Inf,-3.96939817277402,0.00234387285142279
"Combined - Jan.Mayen",-1.59632109465151,0.318837293884041,Inf,-5.00669502994868,1.95622942995577e-05
"Combined - Jarsteinen",-3.20808604498844,0.483749577568457,Inf,-6.63170820967683,1.19382337349094e-09
"Combined - Little.Saltee",-4.8209298102229,0.388818917319612,Inf,-12.3989075517642,0
"Eynhallow - Faroe.Islands",1.11424339902789,0.388740089160867,Inf,2.8662940357736,0.0969621322578359
"Eynhallow - Inishkea",-0.25933710376751,0.820672468565249,Inf,-0.316005609668982,0.999997176047127
"Eynhallow - Isle.of.Canna",0.345377375900019,0.629635095981421,Inf,0.548535775887262,0.999801973186472
"Eynhallow - Jan.Mayen",1.34276919151625,0.266850317689739,Inf,5.0319190291445,1.71696132219568e-05
"Eynhallow - Jarsteinen",-0.268995758820671,0.451335794171737,Inf,-0.595999170228267,0.999631672105635
"Eynhallow - Little.Saltee",-1.88183952405514,0.347488516406242,Inf,-5.4155445006278,2.18038871158122e-06
"Faroe.Islands - Inishkea",-1.3735805027954,0.88480497334761,Inf,-1.55241046803629,0.830414143003353
"Faroe.Islands - Isle.of.Canna",-0.768866023127872,0.71119818763831,Inf,-1.08108546463126,0.97701737166946
"Faroe.Islands - Jan.Mayen",0.228525792488363,0.424881544799022,Inf,0.537857657706598,0.999829214966522
"Faroe.Islands - Jarsteinen",-1.38323915784856,0.559365474419365,Inf,-2.4728718898577,0.245187682831823
"Faroe.Islands - Little.Saltee",-2.99608292308303,0.479614604177368,Inf,-6.24685507277639,1.50529269049571e-08
"Inishkea - Isle.of.Canna",0.60471447966753,1.01383469474869,Inf,0.596462601644765,0.999629537662969
"Inishkea - Jan.Mayen",1.60210629528376,0.838313230485181,Inf,1.91110701468535,0.605981510228062
"Inishkea - Jarsteinen",-0.00965865505316099,0.914133537695698,Inf,-0.0105659125881193,1
"Inishkea - Little.Saltee",-1.62250242028763,0.867352963259477,Inf,-1.87063685606184,0.634186277696538
"Isle.of.Canna - Jan.Mayen",0.997391815616235,0.652308154026584,Inf,1.52901938977692,0.842124246823133
"Isle.of.Canna - Jarsteinen",-0.614373134720691,0.747504437698671,Inf,-0.821898979773485,0.996256763893918
"Isle.of.Canna - Little.Saltee",-2.22721689995516,0.689316419220385,Inf,-3.23105157204022,0.0336517391603866
"Jan.Mayen - Jarsteinen",-1.61176495033693,0.483020991414067,Inf,-3.33684245402753,0.0239457271698473
"Jan.Mayen - Little.Saltee",-3.22460871557139,0.387332134735029,Inf,-8.32517735141527,1.00031094518727e-13
"Jarsteinen - Little.Saltee",-1.61284376523447,0.53170813688888,Inf,-3.03332534023554,0.0610908784725948
