"Region","Month","PERS"
"Barents Sea",1,28.0378
"Barents Sea",10,19.0797
"Barents Sea",11,23.9081
"Barents Sea",12,27.6384
"Barents Sea",2,24.7676
"Barents Sea",3,24.6406
"Barents Sea",4,25.0348
"Barents Sea",5,18.6737
"Barents Sea",6,17.6687
"Barents Sea",7,17.0355
"Barents Sea",8,17.7245
"Barents Sea",9,0
"Canadian Eastern Arctic - West Greenland",1,21.1715
"Canadian Eastern Arctic - West Greenland",10,21.1806
"Canadian Eastern Arctic - West Greenland",11,20.7755
"Canadian Eastern Arctic - West Greenland",12,21.0312
"Canadian Eastern Arctic - West Greenland",5,21.2373
"Canadian Eastern Arctic - West Greenland",7,20.233
"Canadian Eastern Arctic - West Greenland",8,19.5388
"Canadian Eastern Arctic - West Greenland",9,20.5855
"Faroe Plateau",1,25.7943
"Faroe Plateau",10,25.5327
"Faroe Plateau",11,25.7074
"Faroe Plateau",12,25.7421
"Faroe Plateau",2,25.8055
"Faroe Plateau",3,25.7744
"Faroe Plateau",4,25.8083
"Faroe Plateau",5,25.7426
"Faroe Plateau",6,25.7099
"Faroe Plateau",7,25.7871
"Faroe Plateau",8,25.7821
"Faroe Plateau",9,25.4853
"Iceland Shelf and Sea",1,24.893
"Iceland Shelf and Sea",10,24.2358
"Iceland Shelf and Sea",11,0
"Iceland Shelf and Sea",12,24.7689
"Iceland Shelf and Sea",2,24.8945
"Iceland Shelf and Sea",3,24.5824
"Iceland Shelf and Sea",4,24.4081
"Iceland Shelf and Sea",5,24.1657
"Iceland Shelf and Sea",6,24.2825
"Iceland Shelf and Sea",7,24.3698
"Iceland Shelf and Sea",8,24.5153
"Iceland Shelf and Sea",9,24.3645
"North Sea",1,28.2218
"North Sea",10,28.6117
"North Sea",11,28.3859
"North Sea",12,28.2965
"North Sea",2,28.1098
"North Sea",3,28.3466
"North Sea",4,28.2564
"North Sea",5,28.3747
"North Sea",6,28.142
"North Sea",7,28.3379
"North Sea",8,28.725
"North Sea",9,29.035
