"Region","Month","Percent_NA"
"Barents Sea",1,19.2389006342495
"Barents Sea",10,47.7302204928664
"Barents Sea",11,33.167495854063
"Barents Sea",12,23.0055658627087
"Barents Sea",2,35.8458961474037
"Barents Sea",3,36.5313653136531
"Barents Sea",4,38.89816360601
"Barents Sea",5,52.2865853658537
"Barents Sea",6,56.6610455311973
"Barents Sea",7,57.0391872278665
"Barents Sea",8,51.7441860465116
"Barents Sea",9,NA
"Canadian Eastern Arctic - West Greenland",1,4.26829268292683
"Canadian Eastern Arctic - West Greenland",10,4.91803278688525
"Canadian Eastern Arctic - West Greenland",11,5.09259259259259
"Canadian Eastern Arctic - West Greenland",12,5.58375634517767
"Canadian Eastern Arctic - West Greenland",5,7.14285714285714
"Canadian Eastern Arctic - West Greenland",7,7.3394495412844
"Canadian Eastern Arctic - West Greenland",8,8.41121495327103
"Canadian Eastern Arctic - West Greenland",9,5.58139534883721
"Faroe Plateau",1,0
"Faroe Plateau",10,0
"Faroe Plateau",11,0
"Faroe Plateau",12,0
"Faroe Plateau",2,0
"Faroe Plateau",3,0
"Faroe Plateau",4,0
"Faroe Plateau",5,0
"Faroe Plateau",6,0
"Faroe Plateau",7,0
"Faroe Plateau",8,0
"Faroe Plateau",9,0.645161290322581
"Iceland Shelf and Sea",1,2.62172284644195
"Iceland Shelf and Sea",10,3.45911949685535
"Iceland Shelf and Sea",11,NA
"Iceland Shelf and Sea",12,3.32225913621263
"Iceland Shelf and Sea",2,3.1496062992126
"Iceland Shelf and Sea",3,2.78884462151394
"Iceland Shelf and Sea",4,2.97397769516729
"Iceland Shelf and Sea",5,2.87769784172662
"Iceland Shelf and Sea",6,2.5531914893617
"Iceland Shelf and Sea",7,3.23886639676113
"Iceland Shelf and Sea",8,3.14685314685315
"Iceland Shelf and Sea",9,2.9126213592233
"North Sea",1,4.16666666666667
"North Sea",10,5.49450549450549
"North Sea",11,4.1025641025641
"North Sea",12,3.60824742268041
"North Sea",2,3.74331550802139
"North Sea",3,4.95049504950495
"North Sea",4,4
"North Sea",5,4.02010050251256
"North Sea",6,4.51977401129944
"North Sea",7,4.76190476190476
"North Sea",8,4.16666666666667
"North Sea",9,5.17241379310345
