"name","n_kde_cells","n_na_cells","percent_na"
"Alkefjellet_NOS.4182652_2015",675,208,30.8148148148148
"Alkefjellet_NOS.4182652_2016",739,253,34.2354533152909
"Alkefjellet_NOS.4182653_2015",595,219,36.8067226890756
"Alkefjellet_NOS.4182653_2016",744,224,30.1075268817204
"Alkefjellet_NOS.4182653_2017",680,176,25.8823529411765
"Alkefjellet_NOS.4182653_2018",766,285,37.2062663185379
"Alkefjellet_NOS.4182653_2019",604,79,13.0794701986755
"Alkefjellet_NOS.4182653_2020",413,55,13.317191283293
"Alkefjellet_NOS.4182654_2015",777,356,45.8172458172458
"Alkefjellet_NOS.4182654_2016",627,279,44.4976076555024
"Alkefjellet_NOS.4182654_2017",776,340,43.8144329896907
"Alkefjellet_NOS.4182654_2018",583,201,34.4768439108062
"Alkefjellet_NOS.4182655_2015",621,268,43.1561996779388
"Alkefjellet_NOS.4182655_2016",873,418,47.8808705612829
"Alkefjellet_NOS.4182655_2017",867,494,56.9780853517878
"Alkefjellet_NOS.4182656_2016",780,448,57.4358974358974
"Alkefjellet_NOS.4182657_2016",759,430,56.6534914361001
"Alkefjellet_NOS.4182657_2018",942,515,54.6709129511677
"Alkefjellet_NOS.4182657_2019",598,176,29.4314381270903
"Alkefjellet_NOS.4182657_2020",747,399,53.4136546184739
"Alkefjellet_NOS.4182658_2016",569,201,35.3251318101933
"Alkefjellet_NOS.4182658_2017",769,393,51.1053315994798
"Alkefjellet_NOS.4182658_2018",547,168,30.7129798903108
"Alkefjellet_NOS.4182658_2019",314,26,8.28025477707006
"Alkefjellet_NOS.4182659_2016",615,194,31.5447154471545
"Alkefjellet_NOS.4182659_2018",526,142,26.9961977186312
"Alkefjellet_NOS.4182659_2019",454,73,16.079295154185
"Alkefjellet_NOS.4182661_2016",739,306,41.4073071718539
"Alkefjellet_NOS.4182661_2017",1090,490,44.954128440367
"Alkefjellet_NOS.4182661_2018",489,107,21.881390593047
"Alkefjellet_NOS.4182661_2019",482,113,23.4439834024896
"Alkefjellet_NOS.4182661_2020",524,158,30.1526717557252
"Alkefjellet_NOS.4182662_2016",516,183,35.4651162790698
"Alkefjellet_NOS.4182662_2017",687,282,41.0480349344978
"Alkefjellet_NOS.4182663_2016",583,278,47.6843910806175
