colony,month,number_of_birds_tracked,number_of_relocations
Alkefjellet,1,15,2911
Alkefjellet,2,15,2658
Alkefjellet,3,15,2914
Alkefjellet,4,15,2519
Alkefjellet,5,14,2046
Alkefjellet,6,13,1920
Alkefjellet,7,13,1984
Alkefjellet,8,13,2006
Alkefjellet,9,15,2565
Alkefjellet,10,15,2794
Alkefjellet,11,15,2820
Alkefjellet,12,15,2912
Bjørnøya,1,38,5582
Bjørnøya,2,38,5083
Bjørnøya,3,38,5580
Bjørnøya,4,38,4615
Bjørnøya,5,31,3208
Bjørnøya,6,30,3000
Bjørnøya,7,30,3100
Bjørnøya,8,35,3413
Bjørnøya,9,37,5271
Bjørnøya,10,38,5562
Bjørnøya,11,38,5436
Bjørnøya,12,38,5579
Eynhallow,1,133,21446
Eynhallow,2,133,19094
Eynhallow,3,130,20398
Eynhallow,4,130,19691
Eynhallow,5,129,19342
Eynhallow,6,93,13006
Eynhallow,7,138,18462
Eynhallow,8,138,23180
Eynhallow,9,138,21809
Eynhallow,10,136,22320
Eynhallow,11,136,21357
Eynhallow,12,135,21668
Faroe Islands,1,22,1871
Faroe Islands,2,21,1639
Faroe Islands,3,21,1798
Faroe Islands,4,21,1743
Faroe Islands,5,21,1715
Faroe Islands,6,8,540
Faroe Islands,7,22,1321
Faroe Islands,8,22,1928
Faroe Islands,9,22,1864
Faroe Islands,10,22,1915
Faroe Islands,11,22,1857
Faroe Islands,12,22,1922
Inishkea,1,4,496
Inishkea,2,4,456
Inishkea,3,4,496
Inishkea,4,4,480
Inishkea,5,4,441
Inishkea,6,4,477
Inishkea,7,4,496
Inishkea,8,4,496
Inishkea,9,4,480
Inishkea,10,4,496
Inishkea,11,4,480
Inishkea,12,4,496
Isle of Canna,1,8,614
Isle of Canna,2,7,508
Isle of Canna,3,7,558
Isle of Canna,4,7,494
Isle of Canna,5,6,426
Isle of Canna,6,2,120
Isle of Canna,7,8,488
Isle of Canna,8,8,621
Isle of Canna,9,8,601
Isle of Canna,10,8,621
Isle of Canna,11,8,600
Isle of Canna,12,8,618
Jan Mayen,1,55,8757
Jan Mayen,2,55,7926
Jan Mayen,3,55,8680
Jan Mayen,4,55,8276
Jan Mayen,5,50,6051
Jan Mayen,6,42,5182
Jan Mayen,7,42,5427
Jan Mayen,8,48,6504
Jan Mayen,9,54,8076
Jan Mayen,10,55,8573
Jan Mayen,11,55,8593
Jan Mayen,12,55,8797
Jarsteinen,1,15,1924
Jarsteinen,2,15,1754
Jarsteinen,3,15,1922
Jarsteinen,4,15,1864
Jarsteinen,5,15,1864
Jarsteinen,6,13,1217
Jarsteinen,7,15,1737
Jarsteinen,8,15,1964
Jarsteinen,9,15,1861
Jarsteinen,10,15,1918
Jarsteinen,11,15,1865
Jarsteinen,12,15,1926
Langanes,1,3,496
Langanes,2,3,451
Langanes,3,3,496
Langanes,4,3,476
Langanes,5,3,358
Langanes,6,3,300
Langanes,7,3,315
Langanes,8,3,462
Langanes,9,3,482
Langanes,10,3,493
Langanes,11,3,480
Langanes,12,3,496
Little Saltee,1,32,2418
Little Saltee,2,32,2200
Little Saltee,3,32,2418
Little Saltee,4,32,2340
Little Saltee,5,32,2083
Little Saltee,6,22,1560
Little Saltee,7,32,2241
Little Saltee,8,32,2418
Little Saltee,9,32,2339
Little Saltee,10,32,2420
Little Saltee,11,32,2339
Little Saltee,12,32,2417
Skjalfandi,1,54,10591
Skjalfandi,2,54,9583
Skjalfandi,3,53,10478
Skjalfandi,4,53,10143
Skjalfandi,5,53,9509
Skjalfandi,6,38,7167
Skjalfandi,7,47,8416
Skjalfandi,8,52,10104
Skjalfandi,9,53,10271
Skjalfandi,10,54,10576
Skjalfandi,11,54,10275
Skjalfandi,12,54,10608
