colony,tracking_year,number_of_birds_tracked,number_of_relocations
Alkefjellet,2015,4,2437
Alkefjellet,2016,13,7707
Alkefjellet,2017,11,6258
Alkefjellet,2018,9,6162
Alkefjellet,2019,7,4722
Alkefjellet,2020,5,2763
Bjørnøya,2014,23,13367
Bjørnøya,2015,22,14564
Bjørnøya,2016,19,11923
Bjørnøya,2017,17,9899
Bjørnøya,2018,10,5676
Eynhallow,2006,3,1959
Eynhallow,2007,10,6652
Eynhallow,2008,27,12628
Eynhallow,2009,23,14930
Eynhallow,2010,48,31130
Eynhallow,2011,26,16904
Eynhallow,2012,6,3080
Eynhallow,2013,4,211
Eynhallow,2014,34,21040
Eynhallow,2015,44,21621
Eynhallow,2016,43,24387
Eynhallow,2017,50,31286
Eynhallow,2018,36,23703
Eynhallow,2019,29,19351
Eynhallow,2020,23,12891
Faroe Islands,2015,7,4275
Faroe Islands,2016,11,7436
Faroe Islands,2017,9,5988
Faroe Islands,2018,1,730
Faroe Islands,2019,1,434
Faroe Islands,2020,2,1250
Inishkea,2018,4,237
Inishkea,2019,4,2928
Inishkea,2020,4,2625
Isle of Canna,2014,8,4995
Isle of Canna,2015,2,1274
Jan Mayen,2014,19,11190
Jan Mayen,2015,20,13650
Jan Mayen,2016,29,18843
Jan Mayen,2017,34,21100
Jan Mayen,2018,27,16065
Jan Mayen,2019,8,5654
Jan Mayen,2020,7,4340
Jarsteinen,2010,2,73
Jarsteinen,2011,5,3588
Jarsteinen,2012,5,3350
Jarsteinen,2015,4,1493
Jarsteinen,2016,7,2924
Jarsteinen,2017,6,4261
Jarsteinen,2018,7,4124
Jarsteinen,2019,2,1363
Jarsteinen,2020,1,640
Langanes,2014,1,637
Langanes,2015,1,732
Langanes,2016,3,1988
Langanes,2017,2,1335
Langanes,2018,1,613
Little Saltee,2009,17,1020
Little Saltee,2010,19,12560
Little Saltee,2011,3,1996
Little Saltee,2018,5,180
Little Saltee,2019,5,3539
Little Saltee,2020,12,7898
Skjalfandi,2013,2,107
Skjalfandi,2014,20,12446
Skjalfandi,2015,26,18774
Skjalfandi,2016,36,23060
Skjalfandi,2017,35,23259
Skjalfandi,2018,30,19651
Skjalfandi,2019,21,14168
Skjalfandi,2020,10,6256
