colony,tracking_year,number_of_birds_tracked,number_of_relocations
Alkefjellet,2015,4,1464
Alkefjellet,2016,13,4612
Alkefjellet,2017,9,3276
Alkefjellet,2018,9,3275
Alkefjellet,2019,7,2562
Alkefjellet,2020,5,1820
Bjørnøya,2014,23,8372
Bjørnøya,2015,22,8052
Bjørnøya,2016,19,6876
Bjørnøya,2017,17,5883
Bjørnøya,2018,10,3639
Eynhallow,2006,3,1090
Eynhallow,2007,10,3654
Eynhallow,2008,24,6698
Eynhallow,2009,22,7844
Eynhallow,2010,46,16638
Eynhallow,2011,25,9142
Eynhallow,2012,5,1547
Eynhallow,2014,31,11269
Eynhallow,2015,30,10969
Eynhallow,2016,34,12044
Eynhallow,2017,46,16343
Eynhallow,2018,34,12170
Eynhallow,2019,29,9873
Eynhallow,2020,22,7002
Faroe Islands,2015,7,2388
Faroe Islands,2016,11,4001
Faroe Islands,2017,9,3272
Faroe Islands,2018,1,364
Faroe Islands,2019,1,250
Faroe Islands,2020,2,727
Inishkea,2019,4,1464
Inishkea,2020,4,1456
Isle of Canna,2014,8,2788
Isle of Canna,2015,2,731
Jan Mayen,2014,19,6866
Jan Mayen,2015,20,7308
Jan Mayen,2016,29,10465
Jan Mayen,2017,34,11806
Jan Mayen,2018,27,9412
Jan Mayen,2019,8,2925
Jan Mayen,2020,7,2544
Jarsteinen,2011,5,1833
Jarsteinen,2012,5,1819
Jarsteinen,2015,2,732
Jarsteinen,2016,4,1458
Jarsteinen,2017,6,2187
Jarsteinen,2018,6,2184
Jarsteinen,2019,2,732
Jarsteinen,2020,1,364
Langanes,2014,1,363
Langanes,2015,1,366
Langanes,2016,3,1091
Langanes,2017,2,728
Langanes,2018,1,364
Little Saltee,2010,19,6916
Little Saltee,2011,3,1098
Little Saltee,2019,5,1830
Little Saltee,2020,12,4368
Skjalfandi,2014,19,6910
Skjalfandi,2015,26,9504
Skjalfandi,2016,33,11996
Skjalfandi,2017,34,12161
Skjalfandi,2018,29,10221
Skjalfandi,2019,21,7680
Skjalfandi,2020,10,3639
