colony,individ_id,number_of_relocations
Alkefjellet,NOS-4182652,1182
Alkefjellet,NOS-4182653,4099
Alkefjellet,NOS-4182654,2663
Alkefjellet,NOS-4182655,1941
Alkefjellet,NOS-4182656,535
Alkefjellet,NOS-4182657,2639
Alkefjellet,NOS-4182658,2564
Alkefjellet,NOS-4182659,1834
Alkefjellet,NOS-4182661,3367
Alkefjellet,NOS-4182662,1085
Alkefjellet,NOS-4182663,1935
Alkefjellet,NOS-4182664,3363
Alkefjellet,NOS-4182665,1179
Alkefjellet,NOS-4182667,1194
Alkefjellet,NOS-4186205,469
Bjørnøya,NOS-4181262,1196
Bjørnøya,NOS-4181268,467
Bjørnøya,NOS-4181271,561
Bjørnøya,NOS-4182521,449
Bjørnøya,NOS-4182523,1911
Bjørnøya,NOS-4182525,467
Bjørnøya,NOS-4182526,1917
Bjørnøya,NOS-4182528,2000
Bjørnøya,NOS-4182531,1961
Bjørnøya,NOS-4182533,3406
Bjørnøya,NOS-4182534,2398
Bjørnøya,NOS-4182535,1215
Bjørnøya,NOS-4182537,2671
Bjørnøya,NOS-4182538,1176
Bjørnøya,NOS-4182539,1925
Bjørnøya,NOS-4182541,1915
Bjørnøya,NOS-4182542,1176
Bjørnøya,NOS-4182543,483
Bjørnøya,NOS-4182544,1202
Bjørnøya,NOS-4182545,1207
Bjørnøya,NOS-4182546,2648
Bjørnøya,NOS-4182548,1919
Bjørnøya,NOS-4182549,2693
Bjørnøya,NOS-4214401,954
Bjørnøya,NOS-4214403,1943
Bjørnøya,NOS-4214405,1241
Bjørnøya,NOS-4214408,1941
Bjørnøya,NOS-4214433,1196
Bjørnøya,NOS-4214434,1179
Bjørnøya,NOS-4214435,1923
Bjørnøya,NOS-4282351,1193
Bjørnøya,NOS-4282353,363
Bjørnøya,NOS-4282356,1217
Bjørnøya,NOS-4282357,1199
Bjørnøya,NOS-4282358,1199
Bjørnøya,NOS-4282361,1203
Bjørnøya,NOS-4282362,1235
Bjørnøya,NOS-5109523,480
Eynhallow,GBT-FA82356,1589
Eynhallow,GBT-FC14562,3561
Eynhallow,GBT-FC14766,5637
Eynhallow,GBT-FC14836,1018
Eynhallow,GBT-FC14839,1602
Eynhallow,GBT-FC28752,2835
Eynhallow,GBT-FC28841,2808
Eynhallow,GBT-FC28975,1357
Eynhallow,GBT-FC28999,3465
Eynhallow,GBT-FC71061,2800
Eynhallow,GBT-FC88717,729
Eynhallow,GBT-FC88748,1656
Eynhallow,GBT-FH89003,2107
Eynhallow,GBT-FH89004,2168
Eynhallow,GBT-FH89005,1161
Eynhallow,GBT-FH89008,634
Eynhallow,GBT-FH89013,1371
Eynhallow,GBT-FH89014,642
Eynhallow,GBT-FH89016,2006
Eynhallow,GBT-FH89017,633
Eynhallow,GBT-FH89018,637
Eynhallow,GBT-FH89020,4980
Eynhallow,GBT-FH89021,1666
Eynhallow,GBT-FH89023,3492
Eynhallow,GBT-FH89025,2106
Eynhallow,GBT-FH89027,650
Eynhallow,GBT-FH89031,1909
Eynhallow,GBT-FH89034,2190
Eynhallow,GBT-FH89036,1377
Eynhallow,GBT-FH89043,1069
Eynhallow,GBT-FH89085,725
Eynhallow,GBT-FH89086,2545
Eynhallow,GBT-FH89088,645
Eynhallow,GBT-FH89089,2100
Eynhallow,GBT-FH89090,648
Eynhallow,GBT-FH89091,642
Eynhallow,GBT-FH89093,3073
Eynhallow,GBT-FH89095,633
Eynhallow,GBT-FH89096,649
Eynhallow,GBT-FH89099,1567
Eynhallow,GBT-FH89102,2098
Eynhallow,GBT-FH89108,1026
Eynhallow,GBT-FP05006,1457
Eynhallow,GBT-FP05013,2954
Eynhallow,GBT-FP05030,1366
Eynhallow,GBT-FP05078,1274
Eynhallow,GBT-FP05082,288
Eynhallow,GBT-FP05091,2789
Eynhallow,GBT-FP05130,278
Eynhallow,GBT-FP05132,718
Eynhallow,GBT-FP05134,2103
Eynhallow,GBT-FP05135,1450
Eynhallow,GBT-FP05150,635
Eynhallow,GBT-FP05183,3652
Eynhallow,GBT-FP05192,1256
Eynhallow,GBT-FP05203,1347
Eynhallow,GBT-FP05205,635
Eynhallow,GBT-FP05208,1357
Eynhallow,GBT-FP05214,2006
Eynhallow,GBT-FP05222,639
Eynhallow,GBT-FP05224,647
Eynhallow,GBT-FP05229,642
Eynhallow,GBT-FP05231,645
Eynhallow,GBT-FP05238,4998
Eynhallow,GBT-FP05438,1673
Eynhallow,GBT-FP96010,1347
Eynhallow,GBT-FP96018,1251
Eynhallow,GBT-FP96027,634
Eynhallow,GBT-FP96037,2701
Eynhallow,GBT-FP96044,1098
Eynhallow,GBT-FP96045,425
Eynhallow,GBT-FP96054,4820
